Khóa,Mã ngành,Tên ngành,Chương trình đào tạo,Mã học phần,Tên học phần,Số tín chỉ
50,7480202,An toàn thông tin,Đại trà,QP010E,Giáo dục quốc phòng và An ninh 1,2
50,7480202,An toàn thông tin,Đại trà,QP011E,Giáo dục quốc phòng và An ninh 2,2
50,7480202,An toàn thông tin,Đại trà,QP012,Giáo dục quốc phòng và An ninh 3,2
50,7480202,An toàn thông tin,Đại trà,QP013,Giáo dục quốc phòng và An ninh 4,2
50,7480202,An toàn thông tin,Đại trà,TC009,Bóng bàn 1,1
50,7480202,An toàn thông tin,Đại trà,TC010,Bóng bàn 2,1
50,7480202,An toàn thông tin,Đại trà,TC022,Bóng bàn 3,1
50,7480202,An toàn thông tin,Đại trà,TC005,Bóng chuyền 1,1
50,7480202,An toàn thông tin,Đại trà,TC006,Bóng chuyền 2,1
50,7480202,An toàn thông tin,Đại trà,TC020,Bóng chuyền 3,1
50,7480202,An toàn thông tin,Đại trà,TC007,Bóng đá 1,1
50,7480202,An toàn thông tin,Đại trà,TC008,Bóng đá 2,1
50,7480202,An toàn thông tin,Đại trà,TC021,Bóng đá 3,1
50,7480202,An toàn thông tin,Đại trà,TC028,Bóng rổ 1,1
50,7480202,An toàn thông tin,Đại trà,TC029,Bóng rổ 2,1
50,7480202,An toàn thông tin,Đại trà,TC030,Bóng rổ 3,1
50,7480202,An toàn thông tin,Đại trà,TC011,Cầu lông 1,1
50,7480202,An toàn thông tin,Đại trà,TC012,Cầu lông 2,1
50,7480202,An toàn thông tin,Đại trà,TC023,Cầu lông 3,1
50,7480202,An toàn thông tin,Đại trà,TC025,Cờ vua 1,1
50,7480202,An toàn thông tin,Đại trà,TC026,Cờ vua 2,1
50,7480202,An toàn thông tin,Đại trà,TC027,Cờ vua 3,1
50,7480202,An toàn thông tin,Đại trà,TC001,Điền kinh 1,1
50,7480202,An toàn thông tin,Đại trà,TC002,Điền kinh 2,1
50,7480202,An toàn thông tin,Đại trà,TC024,Điền kinh 3,1
50,7480202,An toàn thông tin,Đại trà,TC003,Taekwondo 1,1
50,7480202,An toàn thông tin,Đại trà,TC004,Taekwondo 2,1
50,7480202,An toàn thông tin,Đại trà,TC019,Taekwondo 3,1
50,7480202,An toàn thông tin,Đại trà,TC031,Tennis 1,1
50,7480202,An toàn thông tin,Đại trà,TC032,Tennis 2,1
50,7480202,An toàn thông tin,Đại trà,TC033,Tennis 3,1
50,7480202,An toàn thông tin,Đại trà,TC016,Thể dục nhịp điệu 1,1
50,7480202,An toàn thông tin,Đại trà,TC017,Thể dục nhịp điệu 2,1
50,7480202,An toàn thông tin,Đại trà,TC018,Thể dục nhịp điệu 3,1
50,7480202,An toàn thông tin,Đại trà,XH023,Anh văn căn bản 1,4
50,7480202,An toàn thông tin,Đại trà,XH024,Anh văn căn bản 2,3
50,7480202,An toàn thông tin,Đại trà,XH025,Anh văn căn bản 3,3
50,7480202,An toàn thông tin,Đại trà,XH031,Anh văn tăng cường 1,4
50,7480202,An toàn thông tin,Đại trà,XH032,Anh văn tăng cường 2,3
50,7480202,An toàn thông tin,Đại trà,XH033,Anh văn tăng cường 3,3
50,7480202,An toàn thông tin,Đại trà,FL001,Pháp văn căn bản 1,4
50,7480202,An toàn thông tin,Đại trà,FL002,Pháp văn căn bản 2,3
50,7480202,An toàn thông tin,Đại trà,FL003,Pháp văn căn bản 3,3
50,7480202,An toàn thông tin,Đại trà,FL007,Pháp văn tăng cường 1,4
50,7480202,An toàn thông tin,Đại trà,FL008,Pháp văn tăng cường 2,3
50,7480202,An toàn thông tin,Đại trà,FL009,Pháp văn tăng cường 3,3
50,7480202,An toàn thông tin,Đại trà,ML014,Triết học Mác - Lênin,3
50,7480202,An toàn thông tin,Đại trà,ML016,Kinh tế chính trị Mác - Lênin,2
50,7480202,An toàn thông tin,Đại trà,ML018,Chủ nghĩa xã hội khoa học,2
50,7480202,An toàn thông tin,Đại trà,ML019,Lịch sử Đảng Cộng sản Việt Nam,2
50,7480202,An toàn thông tin,Đại trà,ML021,Tư tưởng Hồ Chí Minh,2
50,7480202,An toàn thông tin,Đại trà,KL001E,Pháp luật đại cương,2
50,7480202,An toàn thông tin,Đại trà,ML007,Logic học đại cương,2
50,7480202,An toàn thông tin,Đại trà,XH028,Xã hội học đại cương,2
50,7480202,An toàn thông tin,Đại trà,XH011,Cơ sở văn hóa Việt Nam,2
50,7480202,An toàn thông tin,Đại trà,XH012,Tiếng Việt thực hành,2
50,7480202,An toàn thông tin,Đại trà,XH014,Văn bản và lưu trữ học đại cương,2
50,7480202,An toàn thông tin,Đại trà,KN001E,Kỹ năng mềm,2
50,7480202,An toàn thông tin,Đại trà,KN002E,Đổi mới sáng tạo và khởi nghiệp,2
50,7480202,An toàn thông tin,Đại trà,TN001,Vi - Tích phân A1,3
50,7480202,An toàn thông tin,Đại trà,TN002,Vi - Tích phân A2,4
50,7480202,An toàn thông tin,Đại trà,TN010,Xác suất thống kê,3
50,7480202,An toàn thông tin,Đại trà,TN012,Đại số tuyến tính và hình học,4
50,7480202,An toàn thông tin,Đại trà,CT100,Kỹ năng học đại học,2
50,7480202,An toàn thông tin,Đại trà,CT200,Nền tảng công nghệ thông tin,4
50,7480202,An toàn thông tin,Đại trà,CT172,Toán rời rạc,4
50,7480202,An toàn thông tin,Đại trà,CT101,Lập trình căn bản A,4
50,7480202,An toàn thông tin,Đại trà,CT177,Cấu trúc dữ liệu,3
50,7480202,An toàn thông tin,Đại trà,CT175,Lý thuyết đồ thị,3
50,7480202,An toàn thông tin,Đại trà,CT174,Phân tích và thiết kế thuật toán,3
50,7480202,An toàn thông tin,Đại trà,CT180,Cơ sở dữ liệu,3
50,7480202,An toàn thông tin,Đại trà,CT173,Kiến trúc máy tính,3
50,7480202,An toàn thông tin,Đại trà,CT178,Nguyên lý hệ điều hành,3
50,7480202,An toàn thông tin,Đại trà,CT112,Mạng máy tính,3
